Авдіївка	м. Авдіївка	\бульв. Шевченка\вул. 8 Березня\вул. 9-й квартал\вул. Абрикосова\вул. Белінського\вул. Весняна\вул. Виноградна\вул. Воробйова\вул. Гагаріна\вул. Героїв\вул. Грушевського\вул. Джерельна\вул. Добролюбова\вул. Довіри\вул. Донецька\вул. Дружби\вул. Єлагіна\вул. Заводська\вул. Зелена\вул. Каштанова\вул. Княгині Ольги\вул. Коксохіміків\вул. Колосова\вул. Комунальна\вул. Корольова\вул. Котляревського\вул. Коцюбинського\вул. Красна\вул. Леваневського\вул. Лермонтова\вул. Лесі Українки\вул. Ломоносова\вул. Маяковського\вул. Менделєєва\вул. Металургів\вул. Миру\вул. Молодіжна\вул. Нахімова\вул. Незалежності\вул. Некрасова\вул. Нечаєва\вул. Паркова\вул. Первомайська\вул. Перемоги\вул. Поштова\вул. Пушкіна\вул. Рубінова\вул. Садова\вул. Сапронова\вул. Свободи\вул. Сільгосптехніки\вул. Соборна\вул. Спортивна\вул. Степова\вул. Суворова\вул. Тимірязєва\вул. Тургенєва\вул. Фестивальна\вул. Франка\вул. Центральна\вул. Чайковського\вул. Чепижного\вул. Чернишевського\вул. Чехова\вул. Чистякова\вул. Чкалова\вул. Шевченка\вул. Шестакова\кв-л 9-й квартал\кв-л Будівельників\кв-л Ювілейний\пров. 50-и Річчя АКХЗ\пров. 50-ти Річчя АКХЗ\пров. Аптекарський\пров. Благодатний\пров. Больничний\пров. Гурова\пров. Залізничний\пров. Кар'єрний\пров. Клубний\пров. Козачий\пров. Лісний\пров. Міністерства шляхів та сполучення\пров. Робочий\пров. Світлий\пров. Сєдова\пров. Солов'яненко\пров. Стадіонний\пров. Стрілковий\пров. Суворова\пров. Театральний\пров. Тісний\пров. Толстого\пров. Шкільний\пров. Ясинуватський\проїзд Індустріальний\просп. Центральний
Волноваський	с. Діанівка	\вул. Дружби\вул. Зарічна\вул. Миру\вул. Молодіжна\вул. Польова\вул. Садова\вул. Сонячна\вул. Центральна\вул. Шкільна
Волноваський	с. Дмитрівка	\вул. Горького\вул. Донецька\вул. Першотравнева\вул. Суворова\вул. Центральна\вул. Шкільна\пров. 8 Березня\пров. Баластний\пров. Зелений\пров. Садовий
Волноваський	с. Єгорівка	\вул. Кутузова\вул. Степова\вул. Хмельницького Богдана\вул. Шевченка\вул. Шкільна\вул. Ювілейна
Волноваський	с. Заїченко	\вул. Гринько\вул. Ілліча\вул. Мира\вул. Ново-Таврія\вул. Радянська\вул. Селіванова\вул. Степова
Волноваський	с. Запорізьке	\вул. Зелена\вул. Садова\вул. Центральна
Волноваський	с. Затишне	\вул. Центральна
Волноваський	с. Зачатівка 	\вул. Молодіжна\вул. Садова\вул. Центральна\вул. Шевченка\вул. Шкільна\пров. Гоголя\пров. Донецький\пров. Коваля\пров. Набережний\пров. Челюскінців
Волноваський	с. Зелений Гай	\вул. Дачна\вул. Джерельна\вул. Зелена
Волноваський	с. Златоустівка	\вул. 40 Років Перемоги\вул. 8 Березня\вул. Гагаріна\вул. Гоголя\вул. Донецька\вул. Колгоспна\вул. Мічуріна\вул. Молодіжна\вул. Набережна\вул. Народна\вул. Пролетарська\вул. Садова\вул. Степна\вул. Суворова\вул. Тополина\вул. Харківська\вул. Центральна\вул. Чернігівська\вул. Шевченка
Волноваський	с. Знаменівка	\вул. Громова\вул. Комарова\вул. Чкалова
Волноваський	с. Іванівка	\вул. 40 Років Перемоги\вул. Донецька\вул. Зарічна\вул. Магістральна\вул. Миру\вул. Набережна\вул. Першотравнева\вул. Преображенська\вул. Центральна
Волноваський	с. Калинове	\вул. Баєва\вул. Гончарова\вул. Зарічна\вул. Іванова\вул. Карасьова\вул. Миру\вул. Молодіжна\вул. Саєнко\вул. Степна\вул. Центральна\вул. Шевченка
Волноваський	с. Кам'янка	\вул. 8 Березня\вул. 8 Травня\вул. Весняна\вул. Лікарняна\вул. Лугова\вул. Миру\вул. Молодіжна\вул. Радужна\вул. Садова\вул. Степова\вул. Тиха\вул. Центральна\вул. Шкільна
Волноваський	с. Кирилівка	\вул. Гагаріна\вул. Жукова\вул. Зарічна\вул. Миру\вул. Папаніна\вул. Побєди\вул. Степна\вул. Центральна\вул. Шкільна
Волноваський	с. Кропивницьке	\вул. Зелена\вул. Каштанова
Волноваський	с. Лазарівка	\вул. Садова\вул. Солов'їна\вул. Ювілейна
Волноваський	с. Лебединське	\вул. Азовська\вул. Гагаріна\вул. Заводська\вул. Красноармійська\вул. Магистральна\вул. Молодіжна\вул. Набережна\вул. Радянська\вул. Степова\вул. Широка\вул. Ювілейна
Волноваський	с. Лідине	\вул. Затишна\вул. Нагорна\вул. Садова
Волноваський	с. Лісне	\вул. Миру
Волноваський	с. Малинівка	\вул. 1-го Травня\вул. Горького\вул. Молодіжна
Волноваський	с. Малогнатівка	\вул. Гагаріна\вул. Степна
Волноваський	с. Микільське	\вул. 40 Років Перемоги\вул. Василівська\вул. Гагаріна\вул. Карла Маркса\вул. Миру\вул. Набережна\вул. Південна\вул. Річкова\вул. Степова\вул. Центральна\вул. Югова
Волноваський	с. Миколаївка	\вул. Вишнева\вул. Гагаріна\вул. Комарова\вул. Миру\вул. Молодіжна\вул. Садова\вул. Степна\вул. Центральна\вул. Шевченка\вул. Шияна
Волноваський	с. Новоандріївка	\вул. Гагаріна\вул. Колхозна\вул. Набережна\вул. Степна\вул. Центральна
Волноваський	с. Новоапостолівка	\вул. Губенко\вул. Зарічна\вул. Садова
Волноваський	с. Новогнатівка	\вул. Восточна\вул. Глуменко\вул. Сонячний\вул. Українська\вул. Центральна\вул. Шкільна\пров. Першотравневий
Волноваський	с. Новогригорівка (м. Волноваха)	\вул. Сільська
Волноваський	с. Новогригорівка (Старогнатівська сільська рада)	\вул. Лісна
Волноваський	с. Новомиколаївка (Златоустівська сільська рада)	\вул. Гагаріна\вул. Чкалова
Волноваський	с. Новоолексіївка	\вул. Булди\вул. Кринична\вул. Молодіжна\вул. Набережна\вул. Перемоги\вул. Степова\вул. Тополинна\вул. Центральна
Волноваський	с. Новопавлівка	\вул. Волошкова
Волноваський	с. Новоселівка	\вул. Весняна\вул. Зелена\вул. Каштанова\вул. Кооперативна\вул. Молодіжна\вул. Набережна\вул. Поштова\вул. Степова\вул. Центральна\вул. Чехова\вул. Шкільна\пров. Новий
Волноваський	с. Новоселівка Друга	\вул. 8 Березня\вул. Молодіжна\вул. Музикальна\вул. Паркова\вул. Пушкіна\вул. Тиха\вул. Центральна\пров. Павлопольський
Волноваський	с. Новотатарівка	\вул. Азовська
Волноваський	с. Орловське	\вул. Степова
Волноваський	с. Павлопіль	\вул. 1Травня\вул. 60 років СРСР\вул. Гагаріна\вул. Красноармійська\вул. Молодіжна\вул. Річна\вул. Садова\вул. Сивухіна\вул. Степова\вул. Черненко\вул. Ювілейна
Волноваський	с. Передове	\вул. Будівельна\вул. Зелена\вул. Солідарна
Волноваський	с. Петрівка	\вул. Петрівська
Волноваський	с. Петрівське	\вул. Дружби\вул. Затишна\вул. Зелена\вул. Мельника\вул. Миру\вул. Поштова\вул. Степна\вул. Франка\вул. Центральна\вул. Шевченка
Волноваський	с. Пищевик	\пров. Український
Волноваський	с. Пільне	\вул. Живодноводчеська\вул. Механізаторів\вул. Мічуріна\вул. Некрасова\вул. Пушкіна\вул. Садова
Волноваський	с. Полкове	\вул. Молодіжна\вул. Набережна
Волноваський	с. Привільне	\вул. Гагаріна\вул. Євтушенко\вул. Зелена\вул. Кості Бабіна\вул. Мічуріна\вул. Молодіжна\вул. Садова\вул. Центральна\пров. Шкільний
Волноваський	с. Прохорівка	\вул. Вишнева\вул. Зелена\вул. Мирна\вул. Молодіжна\вул. Центральна
Волноваський	с. Рибинське	\вул. Гагаріна\вул. Захарова\вул. Зелена\вул. Квіткова\вул. Костоманова\вул. Мира\вул. Молодіжна\вул. Олімпійська\вул. Первомайська\вул. Полева\вул. Раздольна\вул. Солнечна\вул. Старікова\вул. Центральна\вул. Шоферська\вул. Ювілейна\пров. Майський\пров. Садовий\пров. Шкільний
Волноваський	с. Рівнопіль	\вул. Донецька\вул. Жовтнева\вул. Лємєховой\вул. Первомайська\вул. Садова\вул. Ювілейна
Волноваський	с. Свободне	\вул. Гвардійська\вул. Донецька\вул. Миру\вул. Молодіжна\вул. Південна\вул. Садова\вул. Святих Петра і Павла\вул. Франко\вул. Центральна\вул. Шевченка\пров. Луговий\пров. Степовий
Волноваський	с. Сонячне	\вул. Гагаріна\вул. Дерибасівська\вул. Квіткова\вул. Лотошникова\вул. Миру\вул. Набережна\вул. Степова\вул. Шкільна
Волноваський	с. Сопине	\вул. Азовська\вул. Курортна\вул. Лугова\вул. Різдвяна\вул. Степова\вул. Центральна
Волноваський	с. Старогнатівка	\вул. 24-ї Гвардійської Дивізії\вул. Гагаріна\вул. Грецька\вул. Донецький\вул. Дружби\вул. Зарічна\вул. Іллі Мате\вул. Лугова\вул. Мариупольська\вул. Маріупольська\вул. Миру\вул. Молодіжна\вул. Набережна\вул. Олімпійський\вул. Спортивна\вул. Трудова\вул. Центральна\вул. Шевченка\вул. Шкільна\пров. Жовтневий\пров. Степовий\пров. Тихий\пров. Травневий
Волноваський	с. Степанівка	\вул. Вишнева\вул. Космонавтів\вул. Молодіжна\вул. Новоселівська\вул. Польова\вул. Яблунева
Волноваський	с. Степне	\вул. Гагаріна\вул. Дачна\вул. Лісна\вул. Магістральна\вул. Миру\вул. Мічуріне\вул. Молодіжна\вул. Садова\вул. Сонячна\вул. Центральна\вул. Шевченка\вул. Ювілейна
Волноваський	с. Стрітенка	\вул. Гагаріна\вул. Дачна\вул. Донецька\вул. Котельникова\вул. Миру\вул. Набережна\вул. Невського\вул. Островського\вул. Першотравнева\вул. Світська\вул. Центральна\вул. Шевченка
Волноваський	с. Тарасівка	\вул. Дачна
Волноваський	с. Трудівське	\вул. Миру\вул. Молодіжна\вул. Паши Ангеліної\вул. Фермівська\вул. Хуторська\вул. Центральна
Волноваський	с. Трудове	\вул. Визволителів\вул. Волгоградська\вул. Трудова
Волноваський	с. Федорівка	\вул. Прикордонна\вул. Степова
Волноваський	с. Хлібодарівка	\вул. Вокзальна\вул. Врожайна\вул. Гагаріна\вул. Гранітна\вул. Заводська\вул. Космонавтів\вул. Кострова\вул. Лугова\вул. Миру\вул. Молодіжна\вул. Нова\вул. Паркова\вул. Польова\вул. Садова\вул. Степова\вул. Українська\вул. Центральна\вул. Шкільна
Волноваський	с. Чермалик	\вул. Виноградна\вул. Гагаріна\вул. Грецька\вул. Дружби\вул. Зажиточна\вул. Кальміуська\вул. Комарова\вул. Миру\вул. Молодіжна\вул. Набережна\вул. Нікітіна\вул. Первомайська\вул. Північна\вул. Торгова\вул. Хмельницького Богдана
Волноваський	с. Черненко	\вул. Степова
Волноваський	с. Шевченко (Єгорівська сільська рада)	\вул. Центральна
Волноваський	с. Шевченко (Октябрська сільська рада)	\вул. Зарічна\вул. Переможців\вул. Харітонова
Волноваський	с. Широкине	\вул. Азовська\вул. Артема\вул. Виноградна\вул. Ворошилова\вул. Гагаріна\вул. Горячєва\вул. Комсомольська\вул. Котовського\вул. Курортна\вул. Логозинського\вул. Миру\вул. Молодіжна\вул. Набережна\вул. Панфілова\вул. Пушкіна\вул. Рибацька\вул. Советська\вул. Степна\вул. Шапоткіна\вул. Шевченко\вул. Шкільна\пров. Сєвєрний
Волноваський	смт Андріївка (Андріївська селищна рада)	\вул. 8 Травня\вул. Баластна\вул. Виноградна\вул. Вишнева\вул. Вокзальна\вул. Горького\вул. Грецька\вул. Дружна\вул. Зарічна\вул. Зелена\вул. Каранська\вул. Культурна\вул. Лугова\вул. Миру\вул. Молодіжна\вул. Некрасова\вул. Паркова\вул. Первомайська\вул. Перемоги\вул. Польова\вул. Поштова\вул. Радужна\вул. Рудченкова\вул. Садова\вул. Світла\вул. Сонячна\вул. Степова\вул. Східна\вул. Тиха\вул. Українська\вул. Шевченка\вул. Широка\вул. Шкільна\вул. Ювілейна\пров. Шевченка\пров. Шевченко\пров. Шкільний
Волноваський	смт Благодатне	\вул. 8 Березня\вул. Березова\вул. Гагаріна\вул. Дачна\вул. Лермонтова\вул. Маяковського\вул. Миру\вул. Молодіжна\вул. Паркова\вул. Перемоги\вул. Північна\вул. Пушкіна\вул. Річна\вул. Садова\вул. Степова\вул. Тєрєшкової\вул. Ювілейна\вул. Южна\пров. Квітковий\пров. Мостовий\пров. Тихий\пров. Чкалова\пров. Шахтарський\пров. Широкий
Волноваський	смт Володимирівка	\вул. 8 Березня\вул. Богдана Хмельницького\вул. Гагаріна\вул. Грушева\вул. Донбаська\вул. Дорожня\вул. Жовтнева\вул. Заводська\вул. Залізнична\вул. Запорожця\вул. Каштанова\вул. Матросова\вул. Маяковського\вул. Мира\вул. Набережна\вул. Незалежності\вул. Островського\вул. Паркова\вул. Перемоги\вул. Першотравнева\вул. Проценко\вул. Пушкіна\вул. Руднична\вул. Садова\вул. Симоненка\вул. Симоненко\вул. Солов'я\вул. Трудовий\вул. Центральна\вул. Шевченка\вул. Юбілейна\вул. Яблунева\пров. Академіка Корольова\пров. Горького\пров. Донецький\пров. Зоряний\пров. Калиновий\пров. Київський\пров. Кошевого\пров. Лермонтова\пров. Михайлівський\пров. Нєкрасова\пров. Озерний\пров. Перлинний\пров. Терешкової\пров. Шахтарський\пров. Шкільний\пров. Щасливий
Волноваський	смт Графське	\вул. Азбукіна\вул. Алімова\вул. Висоцького\вул. Граффа\вул. Докучаєва\вул. Дубова\вул. Лісна\вул. Молодіжна\вул. Сонячна\вул. Студентська\вул. Центральна
Волноваський	смт Донське	\вул. 40 Років Перемоги\вул. 8 Березня\вул. Бойка\вул. Восточна\вул. Гагаріна\вул. Геологічна\вул. Заводська\вул. Івана Франка\вул. Кошевого\вул. Менделєєва\вул. Металургів\вул. Набережна\вул. Першотравнева\вул. Садова\вул. Світанкова\вул. Спортивна\вул. Степна\вул. Торгова\вул. Українська\вул. Цирконівська\вул. Южна\пров. Шкільний
Волноваський	смт Мирне	\вул. 30 Років Перемоги\вул. Больнична\вул. Гагаріна\вул. Жовтнева\вул. Заводська\вул. Космонавтів\вул. Мічуріна\вул. Садова\вул. Театральна\вул. Торгова\вул. Центральна\вул. Чехова\вул. Шевченка\пров. Садовий
Волноваський	смт Новотроїцьке	\вул. 40 Років України\вул. Вербна\вул. Верхня\вул. Виноградна\вул. Вишнева\вул. Відродження\вул. Гагаріна\вул. Громова\вул. Дружби\вул. Земнухова\вул. Івана Кононенка\вул. Київська\вул. Космодем'янської\вул. Кошевого\вул. Лермонтова\вул. Набережна\вул. Надії\вул. Народна\вул. Партизанська\вул. Перемоги\вул. Покровська\вул. Поповича\вул. Поштовий\вул. Пушкіна\вул. Садова\вул. Тихий\вул. Фабрична\вул. Чехова\вул. Чкалова\вул. Шевцової\вул. Шкільна\вул. Южний\вул. Юності\м-р Степний\м-р Южний\пров. Асфальтний\пров. Верхній\пров. Вільний\пров. Восточний\пров. Калиновий\пров. Купальський\пров. Молодіжний\пров. Нижній\пров. Новий\пров. Патріотичний\пров. Перекопський\пров. Річний\пров. Театральний\пров. Центральний\пров. Шкільний
Волноваський	смт Ольгинка	\вул. Автомобільна\вул. Богдана Хмельницького\вул. Больнична\вул. Будівельників\вул. Вербова\вул. Водоп'янова\вул. Докучаєва\вул. Дружби\вул. Заводська\вул. Калинова\вул. Кориди\вул. Лесі Українки\вул. Маяковського\вул. Миру\вул. Молодіжна\вул. Набережна\вул. Перемоги\вул. Першотравнева\вул. Північна\вул. Привокзальна\вул. Сонячна\вул. Українська\вул. Хлібосольна\вул. Центральна\вул. Шевченка\вул. Шкільна\вул. Юбілейна\вул. Южнодонбаська\вул. Яблунева
Волноваський	с-ще Бахчовик	\вул. Горького\вул. Дальня\вул. Нова\вул. Першотравнева\вул. Степна\вул. Центральна\вул. Шевченка\вул. Шкільна\пров. Вишневий
Волноваський	с-ще Дружне	\вул. Вербна\вул. Степова\вул. Центральна
Волноваський	с-ще Зачатівка	\вул. Гагаріна\вул. Елєваторна\вул. Залізничників\вул. Миру\вул. Привокзальна\вул. Широка
Волноваський	с-ще Калинівка	\вул. Подгірна\вул. Садова\вул. Степова
Волноваський	с-ще Маловодне	\вул. Привокзальна
Волноваський	с-ще Обільне	\вул. Горького\вул. Дальня\вул. Степна\вул. Центральна\вул. Шевченка
Вугледар	м. Вугледар	\вул. 13 Десантників\вул. 30 Років Перемоги\вул. Миру\вул. Молодіжна\вул. Трифонова\вул. Шахтарська
Добропільський	м. Білицьке	\вул. Білицька\вул. Будівельників\вул. Верхня Шевченківська\вул. Вознесенського\вул. Гагаріна\вул. Гоголя\вул. Горького\вул. Добропільська\вул. Донецька\вул. Жовтнева\вул. Залізнична\вул. Затишна\вул. Коцюбинського\вул. Липова\вул. Матросова\вул. Миру\вул. Молодіжна\вул. Московська\вул. Новоринкова\вул. Паркова\вул. Перемоги\вул. Південна\вул. Польова\вул. Праці\вул. Святкова\вул. Сковороди\вул. Староринкова\вул. Східна\вул. Харківська\вул. Хмельницького\вул. Шахтарська\вул. Шахтобудівельників\вул. Шевченка\вул. Шкільна\пров. Квітковий\пров. Котляревського\пров. Мирний\пров. Пугачова\пров. Пушкіна\пров. Разіна
Добропільський	м. Білозерське	\вул. Аварійний Пост\вул. Будівельна\вул. Ватутіна\вул. Гагаріна\вул. Гірнича\вул. Горького\вул. Дачна\вул. Зої Космодемьянської\вул. Київська\вул. Лермонтова\вул. Матросова\вул. Маяковського\вул. Некрасова\вул. Олега Кошевого\вул. Олександра Єрмака\вул. Островського\вул. Паркова\вул. Південна\вул. Північна\вул. Піонерська\вул. Пушкіна\вул. Сонячна\вул. Спартака\вул. Східна\вул. Фестивальна\вул. Харківська\вул. Чернишевського\вул. Шахтарської Слави\вул. Шевченка\вул. Широка\вул. Шкільна\пров. Виноградний\пров. Гастелло\пров. Кожедуба\пров. Комунальний\пров. Малий\пров. Маяковського\пров. Перемоги\пров. Проїзний\пров. Пушкіна\пров. Сумський\пров. Товстого\пров. Франка\пров. Шкільний
Добропільський	м. Добропілля (Добропільська міська рада)	\бульв. Шевченка\вул. Алмазна\вул. Банкова\вул. Білинського\вул. Благодатна\вул. Будівельників\вул. Вишнева\вул. Волжська\вул. Вороніжська\вул. Гагаріна\вул. Гастелло\вул. Гімназистів\вул. Гірників\вул. Глибока\вул. Глінки\вул. Говорова\вул. Гоголя\вул. Гордієнка\вул. Григорія Сковороди\вул. Громова\вул. Гурова\вул. Декабристів\вул. Добролюбова\вул. Дружби\вул. Ентузіастів\вул. Завітна\вул. Залізнична\вул. Запорізька\вул. Зарічна\вул. Зої Космодем'янської\вул. Івана Котляревського\вул. Івана Франка\вул. Ізотова\вул. Калинова\вул. Катерини Литвинової\вул. Каштанова\вул. Квіткова\вул. Київська\вул. Кисловодська\вул. Кленова\вул. Комарова\вул. Короленка\вул. Космонавтів\вул. Коцюбинського\вул. Крайня\вул. Кронштадська\вул. Курчатова\вул. Лазурна\вул. Лермонтова\вул. Лобачевського\вул. Луганського\вул. Лугова\вул. Львівська\вул. Матросова\вул. Маяковського\вул. Миколи Чернявського\вул. Миру\вул. Михайла Грушевського\вул. Михайлівська\вул. Мічуріна\вул. Можайського\вул. Московська\вул. Набережна\вул. Нахимова\вул. Незалежності\вул. Некрасова\вул. Низова\вул. Нова\вул. Новодобропільська\вул. Новозалізнична\вул. Ново-Шахтарська\вул. Оболонська\вул. Одеська\вул. Олеся Гончара\вул. Перемоги\вул. Першотравнева\вул. Печериці\вул. Пирогова\вул. Піонерська\вул. Покровська\вул. Полтавська\вул. Праці\вул. Проїзна\вул. Промислова\вул. Пушкіна\вул. Раздольна\вул. Ременного\вул. Ростовська\вул. Рудникова\вул. Садова\вул. Санаторний\вул. Саратовська\вул. Світла\вул. Святогорівська\вул. Севастопольська\вул. Сергія Прокоф'єва\вул. Сідого\вул. Слов'янська\вул. Софіївська\вул. Спартака\вул. Стаханова\вул. Степна\вул. Суворова\вул. Східна\вул. Театральна\вул. Тіниста\вул. Ткачука\вул. Толстого\вул. Тургенєва\вул. Українська\вул. Фестивальна\вул. Харківська\вул. Хмельницького\вул. Ціолковського\вул. Чайковського\вул. Чернишевського\вул. Черняховського\вул. Чехова\вул. Чкалова\вул. Шахтарська\вул. Щепкіна\вул. Ювілейна\вул. Ялтинська\м-р Молодіжний\м-р Сонячний\пров. 8 Березня\пров. Алмазний\пров. Бабусин\пров. Болотнікова\пров. Вільна\пров. Вокзальний\пров. Гіологічний\пров. Гордієнка\пров. Гранітний\пров. Громова\пров. Дачний\пров. Добрий\пров. Добропільський\пров. Європейський\пров. Жуковського\пров. Зарічний\пров. Затишний\пров. Західний\пров. Зелений\пров. Кисловодський\пров. Кленовий\пров. Клубний\пров. Козацький\пров. Кутузова\пров. Лазурний\пров. Лесі Українки\пров. Лісний\пров. Ломоносова\пров. Лутугіна\пров. Малиновий\пров. Мечнікова\пров. Михайлівський\пров. Молодіжний\пров. Народний\пров. Перемоги\пров. Північний\пров. Польовий\пров. Поштовий\пров. Привокзальний\пров. Проїздний\пров. Пугачова\пров. Радищева\пров. Робітничий\пров. Санаторний\пров. Світлий\пров. Свободний\пров. Сонячний\пров. Степний\пров. Тавричний\пров. Тополиний\пров. Український\пров. Учительський\пров. Фестивальний\пров. Широкий\пров. Шкільний\просп. Перемоги
Добропільський	с. Веселе Поле	\вул. Краматорська
Добропільський	с. Вікторівка	\вул. Молодіжна\вул. Широка
Добропільський	с. Вірівка	\вул. 50 Років Жовтня\вул. 70 Років Жовтня\вул. Зарічна\вул. Київська\вул. Назва відсутня\вул. Ошерова\вул. Польова
Добропільський	с. Володимирівка	\вул. Миру\вул. Молодіжна\вул. Сонячна\вул. Центральна\вул. Шкільна\пров. Степовий
Добропільський	с. Завидо-Борзенка	\вул. Весела\вул. Миру
Добропільський	с. Завидо-Кудашеве	\вул. Гутніка\вул. Донецька\вул. Матросова\вул. Незалежна\вул. Садова
Добропільський	с. Зелене	\вул. Дворянська\вул. Зелена\вул. Київська
Добропільський	с. Кам'янка	\вул. Астахова\вул. Верхня\вул. Набережна\вул. Садова\вул. Шкільна
Добропільський	с. Копані	\вул. Благодатна\вул. Лугова\вул. Московська\вул. Шахтарська
Добропільський	с. Криворіжжя	\вул. Весела\вул. Маяковського\вул. Миру\вул. Молодіжна\вул. Нова\вул. Спортивна\вул. Степова\вул. Центральна
Добропільський	с. Надія	\вул. Щастя
Добропільський	с. Нововікторівка	\вул. Центральна\пров. Північний
Добропільський	с. Новокриворіжжя	\вул. Незалежна\вул. Степова
Добропільський	с. Новомар'ївка	\вул. Лугова
Добропільський	с. Новоукраїнка	\вул. Гірників\вул. Нова\вул. Слави\вул. Українська\пров. Врожайний
Добропільський	с. Новофедорівка	\вул. Кринична\вул. Молодіжна\вул. Центральна
Добропільський	с. Панківка	\вул. Соснова
Добропільський	с. Первомайське	\вул. Ватутіна\вул. Гагаріна\вул. Миру\вул. Молодіжна
Добропільський	с. Петрівка	\вул. назва відсутня
Добропільський	с. Ракша	\вул. Степова
Добропільський	с. Торецьке	\вул. Воскова\вул. Глухова\вул. Гончарова\вул. Довженка\вул. Молодіжна\вул. Степова\пров. Героїчний
Добропільський	с. Шахове	\вул. Денисенко\вул. Зарічна\вул. Кордюкова\вул. Ларченко\вул. Миру\вул. Свободи\вул. Чернявського\вул. Широка\вул. Шкільна\пров. Мельничний
Добропільський	смт Водянське	\вул. Дружби\вул. Комунальна\вул. Молодіжна\вул. Паркова\вул. Покровська\вул. Продольний\вул. Садова\вул. Центральна\вул. Чапаєва\вул. Шкільна\пров. Шахтарський\пров. Ювілейний
Добропільський	смт Новодонецьке	\вул. Благовісна\вул. Гагаріна\вул. Горняцька\вул. Залізнична\вул. Затишна\вул. Історична\вул. Комарова\вул. Мальовнича\вул. Молодіжна\вул. Паркова\вул. Першобудівельників\вул. Пушкіна\вул. Садова\вул. Смирнова\вул. Соборна\вул. Сонячна\вул. Спортивна\вул. Степна\вул. Степова\вул. Шкільна\вул. Ювілейна
Добропільський	смт Святогорівка	\вул. Білозерська\вул. Добропільська\вул. Донецька\вул. Залізнична\вул. Затишна\вул. Зелена\вул. Мира\вул. Молодіжна\вул. Привітна\вул. Садова\вул. Сонячна\вул. Степова\вул. Травнева\вул. Шевченка\вул. Шкільна\пров. Веселий\пров. Врожайний\пров. Поштовий\пров. Театральний
Добропільський	с-ще Бокове	\вул. Білозерська\вул. Гоголя\вул. Зелена\вул. Калинова\вул. Мінеральна\вул. Шахтарська
Добропільський	с-ще Красноярське	\вул. 9 Січня\вул. Миру\вул. Нова\вул. Новоселів\вул. Садова\вул. Степна\вул. Чернигівська\вул. Чернігівська\вул. Шахтарська
Добропільський	с-ще Маяк	\вул. Перемоги\вул. Садова\вул. Свободи\вул. Східна\вул. Шевченка
Добропільський	с-ще Новий Донбас	\вул. Героїчна\вул. Молодіжна\вул. Павлова\вул. Садова\вул. Сонячна\вул. Східна\вул. Шкільна
Добропільський	с-ще Світле	\вул. Базарна\вул. Добропільська\вул. Донецька\вул. Дружби\вул. Перемоги\вул. Радянська\вул. Садова\вул. Студентська\вул. Центральна\вул. Шкільна\вул. Ювілейна
Добропільський	с-ще Шевченко	\вул. Володимира Наумова\вул. Космонавтів\вул. Степна\вул. Чарушнікова\вул. Шевченка
